Grid_ID,row,col,lat,lon,Distance_to_Camp_km,Treatment_Status,Land_Frac,Forest_Frac,Tree_Cover_2000_mean,N_forest_px,Cumulative_Pre_Loss_2001_2016,Loss_any_frac_of_forest,Donor_Eligible,Reject_Reason,PreTrend_RMSE,loss_2001,loss_2002,loss_2003,loss_2004,loss_2005,loss_2006,loss_2007,loss_2008,loss_2009,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016
G098_022,98,22,21.3135,92.1025,13.9,spillover_excluded,1.0,0.024,1.5,31,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G098_023,98,23,21.3135,92.1115,13.52,spillover_excluded,1.0,0.005,0.5,6,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G098_024,98,24,21.3135,92.1205,13.2,spillover_excluded,1.0,0.031,2.0,40,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G098_025,98,25,21.3135,92.1295,12.94,spillover_excluded,0.999,0.009,0.9,12,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G098_026,98,26,21.3135,92.1385,12.75,spillover_excluded,1.0,0.022,1.6,29,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G098_027,98,27,21.3135,92.1475,12.62,spillover_excluded,1.0,0.031,1.5,40,0.0,0.05,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G098_028,98,28,21.3135,92.1565,12.55,spillover_excluded,1.0,0.383,22.6,496,0.0544,0.0565,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05444,0.0,0.0,0.0,0.0
G098_029,98,29,21.3135,92.1655,12.56,spillover_excluded,1.0,0.459,27.1,595,0.0084,0.0084,,,,0.0,0.0,0.00168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00672
G098_030,98,30,21.3135,92.1745,12.64,spillover_excluded,1.0,0.649,44.4,841,0.0119,0.0428,,,,0.0,0.0,0.00476,0.0,0.0,0.00357,0.0,0.0,0.0,0.00119,0.0,0.0,0.0,0.0,0.00238,0.0
G098_031,98,31,21.3135,92.1835,12.78,spillover_excluded,1.0,0.897,65.8,1163,0.0378,0.0739,,,,0.00172,0.0,0.00688,0.0,0.0,0.0,0.0,0.00344,0.0,0.0086,0.0,0.01462,0.0,0.0,0.00258,0.0
G098_032,98,32,21.3135,92.1925,12.99,spillover_excluded,1.0,0.785,58.8,1017,0.0088,0.0108,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00295,0.0059,0.0,0.0,0.0,0.0
